media	mediana	desviacion	min	max
0.00584287	0.00309843	0.0120284	0	0.0296333	
0.613969	0.582426	0.347175	0.543962	0.90931	
0.569433	0.551124	0.349266	0.256155	0.798864	
0.55123	0.536943	0.369583	0.211606	0.796518	
0.458041	0.447088	0.343779	0.146542	0.69095	
0.583796	0.566338	0.440196	0.166471	0.863749	
0.618973	0.578692	0.481234	0.182884	0.926658	
0.624141	0.572257	0.458936	0.201055	0.953698	
0.681118	0.650512	0.536784	0.159437	0.999012	
0.684204	0.662747	0.519162	0.180539	0.999506	
0.614211	0.595058	0.472215	0.153576	0.952463	
0.595481	0.575236	0.379619	0.342321	0.884183	
0.547139	0.531461	0.329905	0.378664	0.792937	
0.567586	0.548423	0.312646	0.543963	0.778244	
0.520441	0.513347	0.527293	0.150059	0.822447	
0.583929	0.560499	0.637211	0.0785463	0.998271	
0.456082	0.422857	0.305593	0.546893	0.67675	
0.671669	0.640502	0.367924	0.7034	0.926719	
0.632978	0.60205	0.384225	0.320047	0.928818	
0.565027	0.530627	0.361031	0.23095	0.826151	
0.65058	0.606181	0.417509	0.307151	0.918879	
0.675692	0.645309	0.416102	0.305979	0.916163	
0.618428	0.594105	0.341457	0.501759	0.826275	
0.618428	0.594105	0.341457	0.501759	0.826275	
0.00497016	0.00341622	0.00855358	0	0.0140758	
0.638516	0.619886	0.371636	0.40211	0.895913	
0.607313	0.600818	0.377788	0.310668	0.944808	
0.297835	0.28732	0.195519	0.130129	0.523151	
0.759773	0.75141	0.47363	0.248535	0.863502	
0.611722	0.592238	0.428965	0.118406	0.89616	
0.633787	0.605982	0.443093	0.111372	0.998395	
0.642593	0.61631	0.424206	0.139508	0.980368	
0.690912	0.666759	0.492468	0.131887	0.996666	
0.701122	0.682649	0.51145	0.137749	0.960119	
0.635752	0.622666	0.487455	0.165885	0.941598	
0.605489	0.584015	0.408332	0.328253	0.943079	
0.575398	0.563399	0.382612	0.307151	0.929868	
0.591444	0.594423	0.360157	0.314185	0.958699	
0.539179	0.519147	0.559972	0.146542	0.936474	
0.5945	0.554898	0.597715	0.0169988	0.949747	
0.479979	0.488838	0.343495	0.165299	0.862823	
0.694444	0.679034	0.420021	0.426729	0.942956	
0.657531	0.635338	0.415229	0.406213	0.92567	
0.565249	0.54457	0.353791	0.242087	0.939499	
0.674544	0.644435	0.41553	0.277257	0.97049	
0.702977	0.673274	0.42624	0.359906	0.954439	
0.653492	0.642131	0.382186	0.450762	0.925238	
0.653492	0.642131	0.382186	0.450762	0.925238	
0.00522093	0.00282037	0.0114723	0	0.0538338	
0.710777	0.657901	0.395782	0.776084	0.997778	
0.678567	0.645547	0.392653	0.574443	0.977405	
0.656294	0.631326	0.423302	0.354045	0.965613	
0.528081	0.516326	0.398261	0.268464	0.870972	
0.647021	0.62636	0.491636	0.359906	0.985986	
0.658723	0.628386	0.516127	0.290739	0.984504	
0.67403	0.632796	0.499412	0.307151	0.997839	
0.719134	0.68678	0.59719	0.277843	1	
0.747409	0.733217	0.614758	0.325909	1	
0.680187	0.679789	0.581201	0.314185	0.996728	
0.687422	0.670891	0.470095	0.363423	0.973824	
0.652085	0.626321	0.410115	0.531067	0.972836	
0.669368	0.636053	0.359407	0.739742	0.962341	
0.581623	0.60916	0.672658	0.162954	0.964564	
0.599125	0.574521	0.753412	0.118406	0.999876	
0.532003	0.499801	0.345601	0.399765	0.826769	
0.791963	0.755581	0.43445	0.678781	0.999876	
0.735344	0.704139	0.460186	0.391559	0.998889	
0.623933	0.584095	0.40367	0.347011	0.967218	
0.723779	0.676968	0.454967	0.54279	0.999691	
0.782472	0.736395	0.461243	0.540446	1	
0.733051	0.687853	0.387871	0.861665	0.99679	
0.733051	0.687853	0.387871	0.861665	0.99679	
0.00654539	0.00500516	0.010399	0	0.0160514	
0.470521	0.453802	0.23611	0.534584	0.597913	
0.427274	0.412449	0.242056	0.347597	0.65292	
0.418227	0.401525	0.262038	0.267878	0.6081	
0.351562	0.339279	0.250949	0.196366	0.512656	
0.463264	0.454636	0.324268	0.266706	0.689468	
0.47824	0.46119	0.338141	0.237984	0.662181	
0.47785	0.45682	0.31647	0.363423	0.629707	
0.521074	0.517597	0.387025	0.224502	0.708359	
0.521536	0.522086	0.392329	0.332943	0.752315	
0.461345	0.459323	0.369208	0.228605	0.728115	
0.446663	0.431715	0.290904	0.30129	0.686566	
0.420256	0.400969	0.258551	0.264947	0.606988	
0.428513	0.416978	0.22343	0.511137	0.587974	
0.37792	0.361047	0.444543	0.101993	0.653414	
0.453529	0.432828	0.515431	0.107855	0.71552	
0.318593	0.307301	0.211238	0.232708	0.51673	
0.504646	0.489751	0.266852	0.861079	0.660637	
0.487601	0.475411	0.288819	0.631887	0.649586	
0.429788	0.415151	0.253699	0.504103	0.590937	
0.499007	0.479066	0.283684	0.634818	0.724287	
0.512203	0.495074	0.276403	0.573271	0.755896	
0.465564	0.452729	0.227457	0.575615	0.67533	
0.465564	0.452729	0.227457	0.575615	0.67533	
