media	mediana	desviacion	min	max
0.00584287	10.00309843	10.0120284	10	10.0296333	1
0.613969	10.582426	10.347175	10.543962	10.90931	1
0.569433	10.551124	10.349266	10.256155	10.798864	1
0.55123	10.536943	10.369583	10.211606	10.796518	1
0.458041	10.447088	10.343779	10.146542	10.69095	1
0.583796	10.566338	10.440196	10.166471	10.863749	1
0.618973	10.578692	10.481234	10.182884	10.926658	1
0.624141	10.572257	10.458936	10.201055	10.953698	1
0.681118	10.650512	10.536784	10.159437	10.999012	1
0.684204	10.662747	10.519162	10.180539	10.999506	1
0.614211	10.595058	10.472215	10.153576	10.952463	1
0.595481	10.575236	10.379619	10.342321	10.884183	1
0.547139	10.531461	10.329905	10.378664	10.792937	1
0.567586	10.548423	10.312646	10.543963	10.778244	1
0.520441	10.513347	10.527293	10.150059	10.822447	1
0.583929	10.560499	10.637211	10.0785463	10.998271	1
0.456082	10.422857	10.305593	10.546893	10.67675	1
0.671669	10.640502	10.367924	10.7034	10.926719	1
0.632978	10.60205	10.384225	10.320047	10.928818	1
0.565027	10.530627	10.361031	10.23095	10.826151	1
0.65058	10.606181	10.417509	10.307151	10.918879	1
0.675692	10.645309	10.416102	10.305979	10.916163	1
0.618428	10.594105	10.341457	10.501759	10.826275	1
0.618428	10.594105	10.341457	10.501759	10.826275	1
0.00497016	20.00341622	20.00855358	20	20.0140758	2
0.638516	20.619886	20.371636	20.40211	20.895913	2
0.607313	20.600818	20.377788	20.310668	20.944808	2
0.297835	20.28732	20.195519	20.130129	20.523151	2
0.759773	20.75141	20.47363	20.248535	20.863502	2
0.611722	20.592238	20.428965	20.118406	20.89616	2
0.633787	20.605982	20.443093	20.111372	20.998395	2
0.642593	20.61631	20.424206	20.139508	20.980368	2
0.690912	20.666759	20.492468	20.131887	20.996666	2
0.701122	20.682649	20.51145	20.137749	20.960119	2
0.635752	20.622666	20.487455	20.165885	20.941598	2
0.605489	20.584015	20.408332	20.328253	20.943079	2
0.575398	20.563399	20.382612	20.307151	20.929868	2
0.591444	20.594423	20.360157	20.314185	20.958699	2
0.539179	20.519147	20.559972	20.146542	20.936474	2
0.5945	20.554898	20.597715	20.0169988	20.949747	2
0.479979	20.488838	20.343495	20.165299	20.862823	2
0.694444	20.679034	20.420021	20.426729	20.942956	2
0.657531	20.635338	20.415229	20.406213	20.92567	2
0.565249	20.54457	20.353791	20.242087	20.939499	2
0.674544	20.644435	20.41553	20.277257	20.97049	2
0.702977	20.673274	20.42624	20.359906	20.954439	2
0.653492	20.642131	20.382186	20.450762	20.925238	2
0.653492	20.642131	20.382186	20.450762	20.925238	2
0.00522093	30.00282037	30.0114723	30	30.0538338	3
0.710777	30.657901	30.395782	30.776084	30.997778	3
0.678567	30.645547	30.392653	30.574443	30.977405	3
0.656294	30.631326	30.423302	30.354045	30.965613	3
0.528081	30.516326	30.398261	30.268464	30.870972	3
0.647021	30.62636	30.491636	30.359906	30.985986	3
0.658723	30.628386	30.516127	30.290739	30.984504	3
0.67403	30.632796	30.499412	30.307151	30.997839	3
0.719134	30.68678	30.59719	30.277843	31	3
0.747409	30.733217	30.614758	30.325909	31	3
0.680187	30.679789	30.581201	30.314185	30.996728	3
0.687422	30.670891	30.470095	30.363423	30.973824	3
0.652085	30.626321	30.410115	30.531067	30.972836	3
0.669368	30.636053	30.359407	30.739742	30.962341	3
0.581623	30.60916	30.672658	30.162954	30.964564	3
0.599125	30.574521	30.753412	30.118406	30.999876	3
0.532003	30.499801	30.345601	30.399765	30.826769	3
0.791963	30.755581	30.43445	30.678781	30.999876	3
0.735344	30.704139	30.460186	30.391559	30.998889	3
0.623933	30.584095	30.40367	30.347011	30.967218	3
0.723779	30.676968	30.454967	30.54279	30.999691	3
0.782472	30.736395	30.461243	30.540446	31	3
0.733051	30.687853	30.387871	30.861665	30.99679	3
0.733051	30.687853	30.387871	30.861665	30.99679	3
0.00654539	40.00500516	40.010399	40	40.0160514	4
0.470521	40.453802	40.23611	40.534584	40.597913	4
0.427274	40.412449	40.242056	40.347597	40.65292	4
0.418227	40.401525	40.262038	40.267878	40.6081	4
0.351562	40.339279	40.250949	40.196366	40.512656	4
0.463264	40.454636	40.324268	40.266706	40.689468	4
0.47824	40.46119	40.338141	40.237984	40.662181	4
0.47785	40.45682	40.31647	40.363423	40.629707	4
0.521074	40.517597	40.387025	40.224502	40.708359	4
0.521536	40.522086	40.392329	40.332943	40.752315	4
0.461345	40.459323	40.369208	40.228605	40.728115	4
0.446663	40.431715	40.290904	40.30129	40.686566	4
0.420256	40.400969	40.258551	40.264947	40.606988	4
0.428513	40.416978	40.22343	40.511137	40.587974	4
0.37792	40.361047	40.444543	40.101993	40.653414	4
0.453529	40.432828	40.515431	40.107855	40.71552	4
0.318593	40.307301	40.211238	40.232708	40.51673	4
0.504646	40.489751	40.266852	40.861079	40.660637	4
0.487601	40.475411	40.288819	40.631887	40.649586	4
0.429788	40.415151	40.253699	40.504103	40.590937	4
0.499007	40.479066	40.283684	40.634818	40.724287	4
0.512203	40.495074	40.276403	40.573271	40.755896	4
0.465564	40.452729	40.227457	40.575615	40.67533	4
0.465564	40.452729	40.227457	40.575615	40.67533	4
0.00621106	50.00476682	50.0104147	50	50.0212372	5
0.60872	50.597958	50.458189	50.0779601	50.991727	5
0.635105	50.634822	50.492875	50.0381008	50.999383	5
0.587498	50.585922	50.485727	50.0222743	50.988579	5
0.449511	50.447962	50.40605	50.00117233	50.754908	5
0.520554	50.515254	50.481555	50.014068	50.959254	5
0.508379	50.496703	50.482409	50.014068	50.948636	5
0.517569	50.503337	50.467536	50.045721	50.820842	5
0.548987	50.536903	50.525753	50.0257913	50.972466	5
0.605112	50.600421	50.564633	50.0439625	50.999383	5
0.575311	50.573568	50.539748	50.0304807	50.999012	5
0.609368	50.612775	50.500789	50.0445486	50.969873	5
0.605055	50.603122	50.481761	50.0375147	50.948574	5
0.640392	50.641177	50.47903	50.0550997	50.985801	5
0.563479	50.538452	50.622527	50.0146542	50.980368	5
0.483274	50.440613	50.595004	50.0052755	50.994567	5
0.523259	50.532494	50.442004	50.00820633	50.856464	5
0.686829	50.686383	50.525695	50.0902696	50.986418	5
